id,name,state_id,in_state_tuition,out_state_tuition,acceptance_rate,designation,size,midpoint_ACT,midpoint_SAT,school_site
180212,Bellevue University,27,6450,6450,,2,6185,,,www.bellevue.edu
180249,Clarkson College,27,13352,13352,0.6134,2,739,21,990,www.clarksoncollege.edu/
180258,Bryan College of Health Sciences,27,13592,13592,0.573,2,588,23,1050,www.bryanhealthcollege.edu/bcohs/
180276,Central Community College,27,2760,3960,,1,4151,,,www.cccneb.edu
180328,Chadron State College,27,5668,5698,,1,2199,,,www.csc.edu
180373,College of Hair Design-Downtown,27,,,,3,98,,,collegeofhairdesign.com
180391,Concordia University-Nebraska,27,25950,25950,0.7661,2,1232,24,1067,www.cune.edu
180416,Creighton University,27,35360,35360,0.7267,2,3977,27,1200,www.creighton.edu
180461,Doane University-Arts & Sciences,27,27200,27200,0.7935,2,1064,23,1060,www.doane.edu
180489,Grace University,27,19290,19290,0.4462,2,387,24,1064,https://www.graceuniversity.edu/
180522,Hastings College,27,26280,26280,0.6965,2,1135,24,1079,www.hastings.edu
180595,CHI Health School of Radiologic Technology,27,,,,2,22,,,www.alegent.com
180647,Joseph's College Cosmetology,27,,,,3,229,,,josephscollege.edu
180692,University of Nebraska at Kearney,27,6586,12744,0.8411,1,5081,23,1049,www.unk.edu
180771,Kaplan University-Lincoln Campus,27,15352,15352,,3,548,,,www.kaplanuniversity.edu/lincoln-nebraska.aspx
180814,Nebraska Methodist College of Nursing & Allied Health,27,13614,13614,0.8261,2,742,24,1090,www.methodistcollege.edu
180832,Metropolitan Community College Area,27,2610,3803,,1,7275,,,www.mccneb.edu
180878,Mid-Plains Community College,27,2820,3540,,1,1278,,,www.mpcc.edu
180902,Midland University,27,28150,28150,0.6018,2,1236,22,1010,www.midlandu.edu
180948,Nebraska Christian College,27,13200,13200,,2,134,,,nechristian.edu
180957,University of Nebraska at Omaha,27,6750,18070,0.785,1,11989,23,1050,www.unomaha.edu
180984,Kaplan University-Omaha Campus,27,15352,15352,,3,658,,,www.kaplanuniversity.edu/omaha-nebraska.aspx?wid=1
181002,Nebraska Indian Community College,27,4080,4080,,1,115,,,www.thenicc.edu
181020,University of Nebraska Medical Center,27,,,,1,828,,,www.unmc.edu
181093,Nebraska Wesleyan University,27,28500,28500,0.7814,2,1803,25,1124,www.nebrwesleyan.edu/
181127,University of Nebraska-Lincoln,27,8170,22090,0.6989,1,19979,25,1146,www.unl.edu/
181145,Northeast Community College,27,3030,4035,,1,2726,,,www.northeast.edu
181190,Peru State College,27,6272,6272,,1,1537,,,www.peru.edu
181215,College of Saint Mary,27,27984,27984,0.5285,2,718,,,WWW.CSM.EDU
181242,Southeast Community College Area,27,2689,3296,,1,6979,,,www.southeast.edu
181297,Vatterott College-Spring Valley,27,12708,12708,,3,145,,,www.vatterott.edu
181303,Nebraska College of Technical Agriculture,27,5026,9446,,1,242,,,NCTA.UNL.EDU
181312,Wayne State College,27,5604,9804,,1,2869,,,https://www.wsc.edu/
181330,Regional West Medical Center School of Radiologic Technology,27,,,,2,7,,,www.rwmc.net/sort
181376,Western Nebraska Community College,27,2496,2808,,1,1363,,,www.wncc.edu
181394,York College,27,16080,16080,0.4076,2,402,21,970,www.york.edu/
